order_date,invoice_no,customer_id,customer,product_id,product,category,segment,quantity,unit_cost,unit_price,revenue,cost,margin,ship_date
2026-08-21,1,39,Sleek Cleaners of Valleyville,16,,paper & tissue,segB,4,42,66.36,265.44,168,97.44,
2026-08-21,1,39,Sleek Cleaners of Valleyville,57,Glossy All-Purpose Cleaner,cleaning supplies,segC,1,51,97.92,,51,46.92,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,75,Fresh Microwave Popcorn,breakroom supplies,segA,,18,34.56,69.12,36,33.12,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,76,Immaculate Granola Bars,breakroom supplies,segA,7,10,20.3,142.1,70,72.1,
2026-08-21,1,39,Sleek Cleaners of Valleyville,80,Spotless Instant Soups,breakroom supplies,segA,4,17,32.13,,68,60.52,2026-08-24
08-21-2026,,39,Sleek Cleaners of Valleyville,82,,breakroom supplies,segA,7,26,50.96,356.72,182,174.72,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,84,Sparkling Creamers,breakroom supplies,,229,18,27,6183,4122,2061,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,91,Glossy Microwave Popcorn,  breakroom supplies ,segA,3,29,55.1,165.3,87,78.3,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,93,Gleaming Microwave Popcorn,breakroom supplies,segA,2,20,41.4,82.8,40,42.8,2026-08-24
21/08/2026,1,39,Sleek Cleanesr of Valleyville,100,Dazzling Legal Size Paper,copy paper,segA,96,24,31.2,2995.2,2304,691.2,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,102,Sleek Resume Paper,copy paper,,15,26,33.8,507,390,117,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,106,Sleek Resume Paper,copy paper,segA,18,48,73.44,1321.92,864,457.92,08-24-2026
2026-08-21,1,39,Sleek Cleaners of Valleyville,109,Immaculate Resume Paper,copy paper,segA,8,31,48.36,386.88,,138.88,2026-08-24
2026-08-21,1,39,Sleek Cleaners of Valleyville,110,Pristine Cardstock,copy paper,segA,98,42,48.3,4733.4,4116,617.4,08/24/2026
2026-08-21,1,39,Sleek Cleaners of Valleyville,115,Polished Glossy Photo Paper,copy apper,segA,23,59,88.5,2035.5,1357,678.5,2026-08-24
2026-08-21,2,52,Radiant Maintainers of Forestdale,41,Dazzling File Folders,office products,segC,1,46,74.52,74.52,46,28.52,2026-08-24
08-21-2026,2,52,Radiant Maintainers of Forestdale,45,Immaculate Staplers,office products,segC,22,50,70,1540,1100,440,2026-08-24
,2,52,Radiant Maintainers of Forestdale,52,Spotless Air Freshener,cleaning supplies,segA,1,49,81.34,81.34,49,32.34,2026-08-24
2026-08-21,2,52,Radiant Maintainers of Forestdale,58,Spotless Floor Cleaner,cleaning supplies,segA,1,31,54.25,54.25,31,23.25,2026-08-24
2026-08-21,2,52,Radiant Maintainers of Forestdale,71,Spotless Glass Cleaner,cleaning supplies,segA,1,31,57.35,57.35,31,26.35,2026-08-24
2026-08-21,3,54,Spotless Wholesalers of Mountport,18,Pristine Lunch Napkins,paper & tissue,segB,2,20,31,62,40,22,08-24-2026
2026-08-21,3,54,Spotless Wholesalers of Mountport,25,Dazzling Binder Clips,office products,segC,1,45,65.7,65.7,45,20.7,2026-08-24
2026-08-21,3,54,Spotless Wholesalers of Mountport,53,Glossy Glass Cleaner,cleaning supplies,segA,28,36,54,1512,1008,504,2026-08-24
2026-08-21,3,54,Spotless Wholesalers of Mountprot,61,Pristine Degreaser,cleaning supplies,segA,1,50,91,91,50,41,2026-08-24
2026-08-21,3,54,Spotless Wholesalers of Mountport,65,Sparkling Citrus Cleaner,cleaning supplies,segA,1,20,34.2,34.2,20,14.2,
2026-08-21,3,54,Spotless Wholesalers of Mountport,86,  Dazzling Instant Soups ,breakroom supplies,segB,1,16,31.36,31.36,16,15.36,2026-08-24
2026-08-21,3,54,Spotless Wholesalers of Mountport,113,Polished Recycled Paper,copy paper,segC,,36,51.84,51.84,36,15.84,2026-08-24
08-21-2026,3,54,Spotless Wholesalers of Mountport,114,Glossy Recycled Paper,copy paper,segC,1,32,47.04,47.04,32,15.04,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,1,Sleek Party Napkins,paper & tissue,segA,2,29,40.89,81.78,58,23.78,08-24-2026
21/08/2026,4,69,Dazzling Suppliers of Lakewood,2,Glossy Party Napkins,paper & tissue,segA,1,29,41.76,41.76,29,12.76,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,4,Bright Bathroom Tissue,paper & tissue,segA,2,26,34.06,68.12,52,16.12,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,6,Pristine Bathroom Tissue,paper & tissue,segA,6,19,26.98,161.88,114,47.88,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,14,Spotless Pocket Tissues,paper & tissue,segA,36,20,,864,,144,2026-08-24
2026-08-21,4,69,Dazzling Suppliers of Lakewood,19,Fresh Party Napkins,paper & tissue,esgA,5,45,65.25,326.25,225,101.25,2026-08-24
